,infected_4h_1,infected_4h_2,infected_12h_1,infected_12h_2,infected_24h_1,infected_24h_2,mock_4h_1,mock_4h_2,mock_24h_1,mock_24h_2
AC073651.2,0,0,0,0,0,0,0,0,0,0
AC073655.1,0,0,0,0,0,0,0,0,0,0
AC073655.2,1,0.29,0,0,0.08,0,0.26,0,0.39,0.15
AC073655.3,0,0,0,0,0,0,0,0,0,0
AC073657.1,0,0,0,0,0,0,0,0,0,0
AC073657.2,0,0,0,0,0,0,0,0,0,0
AC073834.1,0,0,0,0,0,0,0,0,0,0
AC073840.1,0,0,0,0,0.03,0.04,0.02,0,0,0.02
AC073842.1,0,0,0,0,0,0,0,0,0,0
AC073842.2,0.29,0.11,0,0,0.25,0.11,0.13,0,0.11,0.12
AC073848.1,0,0,0,0,0,0,0,0,0,0
AC073850.1,0,0,0,0,0,0,0,0,0,0
AC073857.1,0.76,1.05,0.2,0.34,0.05,0.3,1.43,0.83,1.79,1.09
AC073861.1,8.55,7.47,6.74,5.79,2.9,4.97,9.02,9.42,8.95,8.08
AC073862.1,0,0,0,0,0,0,0,0,0,0
AC073862.2,0,0,0,0,0,0,0,0,0,0
AC073862.3,0,0,0.04,0,0,0.03,0,0,0,0
AC073862.4,0,0,0,0,0.07,0,0,0,0,0
AC073862.5,0,0,0,0,0,0,0,0,0,0.03
AC073863.1,0,0,0,0,0,0,0,0,0.22,0
AC073864.1,0,0,0,0,0,0,0,0,0,0.09
AC073869.1,0.11,0.13,0,0,0,0.11,0,0,0.13,0
AC073869.2,0,0,0,0,0,0,0,0,0,0
AC073869.3,0,0,0,0,0,0,0,0,0,0
AC073869.4,0,0,0,0,0,0,0,0,0,0
AC073869.5,0,0,0,0,0,0,0,0,0,0
AC073869.6,0,0,0,0,0,0,0,0,0,0
AC073869.7,0,0,0,0,0,0,0,0,0,0
AC073873.1,0,0,0,0,0,0,0,0,0,0
AC073875.1,0,0,0,0,0,0,0,0,0,0
AC073878.1,0,0,0,0,0.16,0,0,0.03,0,0
AC073878.2,0,0,0,0,0,0,0,0,0,0
AC073896.1,20.24,15.39,9.42,10.27,3.49,6.26,31.08,22.91,21.71,18.69
AC073896.2,0.66,1.08,0.2,0.2,0.61,0.21,2.01,0.63,1.12,1.23
AC073896.3,0.15,0.18,0,0,0,0.17,0.62,0,0,0.18
AC073896.4,0,0,0,0,0,0,0.52,0.28,0.22,0
AC073896.5,0.13,0,0,0,0,0,0.15,0,0,0.21
AC073900.1,0,0,0,0,0,0,0,0,0,0
AC073901.1,0,0,0,0,0,0,0,0,0,0
AC073909.1,0.05,0.05,0,0,0,0.05,0.06,0,0,0
AC073910.1,0,0,0,0,0,0,0,0,0,0
AC073911.1,0,0,0,0,0,0,0,0,0,0
AC073911.2,0,0.2,0,0,0.11,0.1,0.12,0,0.38,0.21
AC073912.1,0,0,0,0,0,0,0,0,0,0
AC073912.2,0.19,0.24,0,0,0,0.21,0.39,0.15,0.21,0
AC073912.3,0.29,0,0,0,0,0,0.78,0,0,0.34
AC073912.4,0,0,0,0,0,0,0,0,0,0
AC073913.1,0,0,0,0,0,0,0,0,0,0
AC073913.2,0,0,0,0,0,0,0,0,0,0
AC073916.1,0,0,0,0,0,0,0,0,0,0
AC073934.1,0,0,0,0,0,0.14,0,0,0,0
AC073941.1,0,0,0,0,0,0,0,0,0,0
AC073941.2,0,0,0,0,0,0,0,0,0,0
AC073957.1,0,0.13,0,0.15,0.27,0,0.15,0.09,0.24,0.27
AC073957.2,0.07,0.28,0.03,0.04,0,0.24,0.26,0,0.52,0.32
AC073957.3,1.09,1.28,0.45,0.44,1.03,1.01,1.13,0.47,0.73,0.75
AC073964.1,0,0,0,0,0,0,0,0,0,0
AC073968.1,0,0,0,0,0,0.19,0,0,0,0
AC073968.2,0,0,0,0,0,0,0,0,0,0
AC073973.1,0,0,0,0,0,0,0,0,0.02,0
AC073987.1,0,0,0,0,0,0,0,0,0,0
AC074008.1,0,0,0.04,0,0,0.03,0.04,0.02,0.03,0.07
AC074008.2,0,0,0,0,0,0,0,0,0,0
AC074011.1,0,0,0,0,0,0,0,0,0,0
AC074021.1,0,0,0,0,0,0,0,0,0,0
AC074024.1,0,0.03,0,0,0,0,0,0,0,0
AC074029.1,0,0,0,0,0,0,0,0,0,0
AC074029.2,0,0,0,0,0,0,0,0,0,0
AC074029.3,0,0,0.42,0,0,0,0.4,0,0.32,0
AC074029.4,0,0,0,0,0,0.03,0,0,0,0
AC074031.1,0,0,0,0,0,0,0,0,0,0
AC074032.1,0.07,0.26,0.1,0,0,0,0.3,0.11,0.08,0.86
AC074035.1,0,0,0,0,0,0.13,0,0,0,0
AC074043.1,0,0,0,0,0,0,0.03,0,0,0
AC074044.1,0.14,0.35,0.4,0.3,0.09,0.41,0.1,0,0.33,0.18
AC074050.1,0,0,0,0,0,0,0,0,0,0
AC074050.2,0,0,0,0,0.27,0.12,0,0,0,0
AC074050.3,0,0,0,0,0,0,0,0,0.1,0
AC074050.4,0.65,0.13,0.45,0.3,0.14,0.37,0.3,0.09,0.24,0.13
AC074051.1,0,0,0,0,0,0,0,0,0,0
AC074051.2,0,0,0,0,0,0,0,0,0,0
AC074051.3,0,0,0,0,0,0,0,0,0,0
AC074051.4,0,0,0,0,0,0,0,0,0,0
AC074052.1,0,0,0,0,0,0,0,0,0,0
AC074052.2,0,0,0,0,0,0,0,0,0,0
AC074085.1,0,0,0,0,0,0,0,0,0,0
AC074085.2,0,0,0,0,0,0,0,0,0,0
AC074087.1,0,0,0,0,0,0,0,0,0,0
AC074087.2,0,0,0,0,0,0,0,0,0,0
AC074091.1,0,0,0,0,0,0,0,0,0,30.49
AC074091.2,0.22,0.44,0.32,0.02,0.28,0.49,0,0,0,0.32
AC074096.1,0,0,0,0,0,0,0,0,0,0
AC074099.1,0,0,0,0,0,0,0,0,0,0
AC074101.1,0,0,0,0,0,0,0,0,0,0
AC074117.1,0.94,1.21,0.48,0.41,0.33,0.32,1.04,1.61,0.91,1.01
AC074117.2,0,0.21,0,0,0,0,0,0,0.2,0
AC074121.1,0,0,0,0,0,0,0,0,0,0
AC074124.1,0.6,1.16,0.28,0,0,0.23,0.27,0.62,0.87,0
AC074131.1,0,0,0,0,0,0,0,0,0,0
AC074132.1,0,0.09,0,0,0,0,0,0,0,0
AC074133.1,0,0,0,0,0,0,0,0,0,0
AC074134.1,0,0,0,0,0,0,0,0,0,0.05
AC074135.1,0,0,0,0,0,0,0,0,0,0
AC074135.2,0,0,0,0,0,0,0,0,0,0
AC074138.1,0.1,0.32,0.14,0.28,0.13,0.38,0.46,0.08,0.23,0.42
AC074139.1,0,0,0,0,0,0,0,0,0,0
AC074140.1,0,0,0,0,0,0,0,0,0,0
AC074141.1,0.2,0.08,0.02,0,0,0.01,0.04,0.01,0.12,0.12
AC074143.1,0.15,0.29,0,0.21,0.42,0.13,0.11,0.1,0.54,0.13
AC074183.1,0,0,0,0,0,0,0,0,0,0
AC074183.2,0,0,0,0,0,0,0,0,0,0
AC074194.1,0.16,0.08,0,0,0,0,0.09,0.05,0,0.02
AC074194.2,0,0,0,0.02,0.04,0,0.02,0.03,0.06,0.02
AC074198.1,0,0,0,0,0,0,0,0,0,0
AC074212.1,0.31,0.22,0.17,0.2,0.06,0,0.6,0.57,0.59,0.58
AC074237.1,0,0,0,0,0,0,0,0,0,0
AC074250.1,0,0,0,0,0,0,0,0,0,0
AC074254.1,0,0,0,0,0,0,0,0,0,0
AC074254.2,0,0,0,0,0,0,0,0,0,0
AC074255.1,0,0,0,0,0,0,0,0,0,0
AC074257.1,0,0,0,0,0,0,0,0,0,0
AC074257.2,0,0,0,0,0,0,0,0,0,0
AC074276.1,0.09,0.1,0.12,0.37,0.22,0.2,0.12,0,0.2,0.11
AC074276.2,0,0.54,0,0,0,0,0,0,0,0
AC074281.1,0,0,0.03,0,0,0,0,0,0,0
AC074281.2,0,0,0,0,0,0,0,0,0,0
AC074286.1,0,0,0.02,0.02,0,0.09,0.17,0,0,0.13
AC074290.1,0,0,0,0,0,0,0,0,0,0
AC074290.2,0,0,0.17,0,0,0,0,0,0,0
AC074325.1,0,0,0,0,0,0,0,0.02,0,0
AC074338.1,0,0,0,0,0,0,0,0,0,0
AC074344.1,0,0,0,0,0,0,0,0,0,0
AC074344.2,0,0,0,0,0,0,0,0,0,0
AC074348.1,0,0,0,0,0,0,0,0,0,0
AC074351.1,0,0,0,0,0,0,0,0.06,0,0
AC074366.1,0,0,0,0,0,0,0,0,0.19,0
AC074367.1,0,0.05,0,0,0.05,0,0.22,0.06,0,0.35
AC074367.2,0,0,0,0,0,0,0,0,0,0
AC074375.1,0,0,0,0,0,0,0,0,0,0
AC074386.1,0,0.12,0.19,0.16,0.08,0,0.28,0.35,0.42,0.81
AC074387.1,0,0,0,0,0,0,0,0.05,0,0
AC074389.1,0,0,0,0,0,0,0,0,0,0
AC074389.2,0,0,0,0,0,0,0,0,0,0
AC074389.3,0,0,0,0,0,0,0,0,0,0
AC074397.1,0,0,0,0,0,0,0,0,0,0
AC076966.1,0,0,0,0,0,0,0,0,0,0
AC076966.2,0,0,0,0,0,0,0,0,0,0
AC076968.1,0,0,0,0,0,0,0,0,0,0
AC076968.2,0,0,0,0,0,0.02,0.02,0,0,0.03
AC076971.1,0,0,0,0,0,0,0,0,0,0
AC077690.1,0,0.01,0.01,0,0,0.01,0,0.01,0,0
AC078776.1,0,0,0,0,0,0,0,0,0,0
AC078776.2,0,0,0,0,0,0,0,0,0,0
AC078777.1,1.87,1.51,1.05,1.28,0.31,0,0.72,1.55,0.85,0.12
AC078778.1,0.1,0.46,0.14,0,0.75,0.56,0.14,0.16,0.77,0.98
AC078785.1,0.04,0.03,0.17,0.11,0,0.27,0.02,0.06,0.14,0
AC078785.2,0,0,0.05,0,0,0,0,0,0,0.04
AC078785.3,0,0,0,0,0,0,0,0,0,0
AC078788.1,0,0,0,0,0.11,0.09,0,0,0,0
AC078788.2,0,0,0,0,0.24,0,0,0,0,0
AC078789.1,0,0,0,0,0,0,0,0.1,0,0
AC078795.1,0.78,1.18,0.88,0.76,0.53,0.82,1.15,0.72,0.73,1.57
AC078795.2,0,0,0.03,0,0.03,0,0.13,0,0,0.15
AC078795.3,0.15,0,0,0,0,0,0.49,0,0.39,0
AC078799.1,0,0,0,0,0,0,0,0,0,0
AC078802.1,0.11,0.47,0.08,0.24,0.07,0,0.24,0.32,0.64,0.14
AC078802.2,75.94,85.04,66.57,59.01,61.98,77.28,85.08,76.89,100.92,88.71
AC078809.1,0,0,0,0,0,0,0,0,0,0
AC078814.1,0,0,0,0,0,0,0,0,0,0
AC078814.2,0,0,0,0,0,0,0,0,0,0
AC078814.3,0,0,0,0,0,0,0,0,0,0
AC078815.1,0.04,0,0,0,0,0,0,0.02,0.06,0.04
AC078816.1,0,0,0,0.1,0.08,0.16,0.11,0,0,0
AC078817.1,0,0,0,0,0,0,0.21,0,0,0
AC078818.1,0,0,0,0,0,0,0,0,0,0
AC078819.1,1.18,0.78,0.62,0.83,0.2,0.34,0.24,1.28,1.11,1.49
AC078820.1,0,0,0,0,0,0,0,0,3.84,4.29
AC078820.2,0.8,0.87,0.47,0.28,0.34,1.29,0.47,0.38,1.51,1.01
AC078820.3,0.13,0.18,0.05,0.05,0.24,0.18,0.2,0.13,0.2,0.45
AC078828.1,0,0,0,0,0,0,0,0,0,0
AC078841.1,0,0,0,0,0,0,0,0,0,0
AC078842.1,0,0,0,0,0,0,0,0,0,0
AC078842.2,0,0,0.03,0,0,0.08,0.03,0.18,0,0
AC078842.3,0,0,0.17,0,0.03,0.08,0.06,0.1,0,0.03
AC078843.1,0,0,0,0,0,0,0,0,0,0
AC078843.2,0,0,0,0,0,0,0,0,0,0
AC078845.1,0,0.03,0,0.04,0,0,0,0.02,0,0
AC078846.1,0.84,0.87,0.45,0.39,0.29,0.34,1.12,0.48,0.64,0.72
AC078850.1,0,0.03,0,0,0,0.03,0,0,0,0
AC078850.2,0,0,0,0,0,0,0,0,0,0
AC078851.1,0,0,0,0,0,0,0,0,0,0
AC078852.1,0,0,0,0,0.19,0,0,0.12,0,0
AC078852.2,0,0,0,0,0,0,0,0,0,0
AC078857.1,0,0,0,0,0,0,0,0,0,0
AC078860.1,0,0,0,0,0,0,0,0,0,0
AC078860.2,0.02,0.05,0.02,0,0.02,0,0,0.01,0,0
AC078860.3,0,0,0,0,0,0,0,0,0,0
AC078864.1,0,0,0,0,0,0,0,0,0,0
AC078865.1,0,0,0,0,0,0,0,0,0,0
AC078867.1,0,0,0,0,0,0,0,0,0,0
AC078874.1,0,0,0.09,0,0,0,0.05,0.03,0.04,0
AC078878.1,0,0,0,0,0,0,0,0,0,0
AC078878.2,0,0,0,0,0,0,0,0,0,0
AC078880.1,0,0,0,0,0,0,0,0,0,0
AC078880.2,0,0,0,0,0,0,0,0,0,0
AC078880.3,0,0.05,0,0,0,0,0,0,0,0
AC078880.4,0,0,0,0,0,0,0,0,0,0
AC078880.5,0,0,0,0,0,0,0,0,0,0
AC078881.1,0,0.2,0.02,0,0.02,0.03,0.13,0.04,0.05,0.11
AC078881.2,0,0,0,0,0,0,0,0,0,0
AC078882.1,0,0,0,0,0,0,0,0,0,0
AC078883.1,0.38,0.53,0.24,0.22,0,0.16,0.62,0.37,0.35,0.93
AC078883.2,1.04,0.24,0.29,0,0.26,1.05,0.28,0,0.23,0.64
AC078883.3,0,0,0,0,0,0,0,0,0,0
AC078886.1,0,0,0,0,0,0,0,0,0,0
AC078889.1,0,0,0,0,0,0,0,0,0,0
AC078899.1,0.28,0.18,0.21,0.05,0.05,0.13,0.31,0.24,0.08,0.24
AC078899.2,0,0,0,0,0,0,0,0,0,0
AC078899.3,0,0,0,0,0,0,0,0,0,0
AC078899.4,0,0,0.06,0,0,0,0,0,0,0
AC078899.5,0,0,0,0,0,0,0,0,0,0
AC078905.1,0,0,0,0,0,0,0,0,0,0
AC078906.1,0,0,0,0,0,0,0,0,0,0
AC078909.1,0,0.63,0.47,0,0.09,0.66,1.28,0.14,1.76,1.66
AC078909.2,0,0,0,0,0,0,0,0.14,0.39,0
AC078916.1,0,0,0,0,0,0,0,0,0,0
AC078918.1,0,0,0,0,0,0,0,0,0,0
AC078922.1,0,0.18,0.21,0,0,0,0,0,0,0
AC078923.1,1.96,1.54,1.02,1.18,2.45,1.34,0.93,0.59,3.03,2.34
AC078925.1,0,0,0,0,0,0,0,0,0,0
AC078925.2,0,0.02,0,0,0,0,0,0,0,0
AC078925.3,0,0,0,0,0,0.02,0,0,0,0.04
AC078925.4,0,0,0,0,0,0,0,0,0,0
AC078927.1,0,0.64,0,0,0,0,0,0,0,0
AC078929.1,0,0,0,0,0,0.13,0,0,0,0
AC078942.1,0,0,0,0,0,0,0,0,0,0
AC078950.1,0,0,0,0,0,0,0,0,0,0
AC078955.1,0,0,0,0,0,0,0,0,0,0
AC078962.1,0,0,0,0,0,0,0,0,0,0
AC078962.2,0,0,0,0,0,0,0,0,0.41,0
AC078962.3,0,0,0,0,0,0,0,0,0,0
AC078962.4,0,0,0,0,0,0,0,0,0,0
AC078962.5,0,0,0,0.68,0,0,0,0,0,0
AC078974.1,0,0,0,0,0,0,0,0,0,0
AC078980.1,0,0,0,0,0,0,0,0,0,0
AC078983.1,0.07,0.03,0.03,0,0,0.03,0.03,0.02,0.11,0.06
AC078991.1,0,0,0,0,0,0,0,0,0,0
AC078993.1,0.02,0,0,0.06,0,0.15,0,0,0,0
AC078994.1,0,0,0,0,0,0,0,0,0,0
AC079015.1,0.09,0,0,0,0,0,0,0,0,0
AC079030.1,0,0,0,0,0,0,0,0,0,0
AC079031.1,0,0,0,0,0,0,0,0,0,0
AC079031.2,0,0,0,0,0,0,0,0,0,0
AC079033.1,0,0,0,0,0,0,0,0,0,0
AC079035.1,0.28,0,0,0,0,0,0,0,0,0.07
AC079035.2,3.33,0.47,0.57,0,0.5,0.46,0,0,0,0.96
AC079052.1,0,0,0,0,0,0,0,0,0,0
AC079054.1,0,0,0,0,0,0,0,0,0,0
AC079061.1,0,0.03,0,0,0.02,0.03,0,0.02,0.01,0.02
AC079064.1,0,0,0,0,0,0,0,0,0,0
AC079070.1,0,0,0,0,0,0,0,0,0,0
AC079075.1,0,0,0,0,0,0,0,0,0,0
AC079080.1,0,0,0,0,0,0,0,0,0,0
AC079089.1,0,0,0,0,0.07,0,0,0,0,0
AC079089.2,0,0,0,0,0,0,0,0,0,0
AC079089.3,0,0,0,0,0,0,0,0,0,0
AC079089.4,0,0,0,0,0,0,0,0,0,0
AC079097.1,0,0,0,0,0,0,0,0,0,0
AC079112.1,0,0,0,0,0,0,0,0,0,0
AC079117.1,0,0,0,0,0,0,0,0,0,0
AC079118.1,0,0,0,0,0,0,0,0,0,0
AC079118.2,0,0,0,0,0,0,0,0,0,0
AC079135.1,0,0,0,0,0,0,0,0,0,0
AC079140.1,0,0.44,0,0,0,0.28,0.17,0.2,0,0.46
AC079140.2,0,0,0,0,0,0,0,0,6.06,0
AC079140.3,0,0,0,0,0,0,0,0,0,0
AC079140.4,0,0,0.15,0,0,0,0.15,0,0,0
AC079140.5,0,0,0,0,0,0,0,0,0,0
AC079140.6,0,0.05,0,0,0,0,0,0,0,0.3
AC079142.1,0.17,0.52,0,0.14,0.04,0.19,0.28,0.11,0.25,0.13
AC079145.1,0.08,0.24,0.16,0.06,0,0,0.24,0.02,0.09,0.15
AC079148.1,0,0,0,0,0,0,0,0,0,0
AC079148.2,0,0,0,0,0,0,0,0.14,0,0.11
AC079148.3,0,0,0,0,0,0,0.02,0.01,0,0
AC079150.1,0,0,0,0,0,0,0,0,0,0
AC079154.1,0,0,0,0,0,0,0,0,0,0
AC079160.1,0,0,0.11,0.04,0,0,0,0,0,0.16
AC079163.1,0,0,0,0,0,0,0,0,0,0
AC079163.2,0,0,0,0,0,0,0,0.02,0,0
AC079168.1,0,0,0,0,0,0,0,0,0,0
AC079169.1,0,0,0,0,0,0,0,0,0,0
AC079171.1,0.2,0,0,0,0,0,0,0,0.06,0
AC079173.1,0,0,0,0,0,0,0,0,0,0
AC079174.1,0,0,0,0.41,0,0,0.4,0.22,0,0
AC079174.2,0.08,0.1,0.11,0,0.03,0,0.17,0.03,0.07,0.05
AC079177.1,0,0,0,0,0,0,0.03,0,0,0
AC079178.1,0,0,0,0,0,0,0,0,0,0
AC079178.2,0,0,0,0,0,0.03,0,0,0,0
AC079193.1,0,0,0,0.13,0,0,0,0,0,0.23
AC079193.2,0.09,0.17,0.02,0.05,0.02,0.02,0.05,0.01,0.08,0.25
AC079200.1,0.03,0.06,0,0,0,0,0,0,0,0
AC079203.1,0,0.4,0,0,0.43,0,0,0.14,0,0
AC079203.2,0,0,0,0,0,0,0,0,0.21,0.23
AC079209.1,0,0,0,0,0,0,0,0.04,0,0
AC079209.2,0,0,0,0,0,0,0,0,0,0
AC079210.1,0,0,0,0,0,0,0,0,0,0
AC079226.1,0,0,0,0,0,0,0,0,0,0
AC079226.2,0,0,0,0,0,0,0,0,0,0
AC079228.1,0,0,0,0,0,0.05,0,0,0,0.06
AC079238.1,0,0,0,0,0,0,0,0,0,0
AC079248.1,0,0,0,0,0,0,0,0,0,0
AC079248.2,0,0,0,0,0,0,0,0,0,0
AC079250.1,0.62,0.66,0.16,0,0.17,0.31,1.2,0.42,0.14,0.32
AC079296.1,0,0,0,0,0.01,0.03,0,0,0,0
AC079296.2,0,0,0,0,0,0,0.12,0,0,0
AC079298.1,0,0,0,0,0,0,0.01,0,0,0
AC079298.2,0,0,0,0,0,0,0,0,0,0
AC079298.3,0,0,0,0,0,0,0,0,0,0
AC079304.1,0,0,0,0,0,0,0,0,0.02,0
AC079305.1,0,0,0,0,0,0,0,0,0,0
AC079305.2,0.24,0.58,0.17,0.68,0.15,0.42,0.17,0.1,0.82,0.15
AC079305.3,0,0,0,0,0,0,0,0,0,0
AC079305.4,0.09,0.22,0.06,0.16,0.61,0.49,0.22,0.13,0.23,0.17
AC079310.1,0,0,0,0,0,0,0,0,0,0
AC079313.1,0,0,0,0,0,0,0,0.08,0,0
AC079313.2,0,0,0,0,0,0.13,0,0,0,0
AC079316.1,0,0,0,0,0,0,0,0,0,0
AC079316.2,0,0,0,0,0,0.04,0,0,0,0
AC079322.1,0.19,0.05,0.05,0,0.1,0.18,0.22,0,0,0.05
AC079325.1,0,0,0,0,0,0,0,0,0,0
AC079328.1,0,0,0,0,0.06,0,0,0,0,0
AC079328.2,0,0,0,0,0,0,0.08,0,1.03,0
AC079329.1,0,0,0,0,0,0,0,0,0,0
AC079331.1,0,0.04,0,0,0,0,0.1,0,0.04,0
AC079331.2,0,0.04,0.02,0,0,0.02,0,0.03,0,0.02
AC079331.3,0,0,0,0,0,0,0.09,0,0,0
AC079336.1,0,0,0,0.23,0,0,0.22,0,0,0
AC079336.2,0.15,0,0,0,0.13,0.11,0.14,0,0.17,0
AC079336.3,0,0,0,0,0,0,0,0,0,0
AC079336.4,0,0,0,0,0,0.19,0,0,0,0
AC079336.5,0.02,0.05,0.07,0.05,0,0,0.01,0.01,0,0.02
AC079336.6,0,0.31,0,0.12,0.11,0,0.12,0.07,0,0
AC079336.7,0,0,0,0,0,0.05,0,0,0,0.05
AC079340.1,0,0,0,0,0,0,0,0,0,0
AC079340.2,0,0,0,0,0,0,0,0,0,0
AC079340.3,0,0,0,0,0,0,0,0,0,0
AC079341.1,0,0,0,0,0,0,0,0,0,0
AC079341.2,0,0,0.02,0,0,0,0,0,0,0
AC079347.1,0,0,0,0,0,0,0,0,0,0
AC079349.1,0,0,0,0,0,0,0,0,0,0
AC079354.1,0,0,0,0,0,0.34,0,0.45,0.32,0
AC079354.2,0,0.01,0,0.01,0,0,0,0,0.03,0.01
AC079355.1,0,0,0,0,0,0,0,0,0,0
AC079355.2,0,0,0,0,0,0,0,0,0,0
AC079360.1,0,0,0,0,0,0,0,0,0,0
AC079362.1,0,0,0,0,0,0,0,0,0,0
AC079363.1,0,0,0,0.06,0,0,0,0,0,0.05
AC079380.1,0,0,0,0,0,0,0,0,0,0
AC079382.1,0,0,0,0,0,0,0,0,0.11,0
AC079382.2,0,0,0,0,0,0,0,0,0,0
AC079384.1,0,0,0,0,0,0,0,0,0,0
AC079384.2,0,0,0,0,0,0,0,0,0,0
AC079385.1,0.02,0,0,0,0,0,0,0,0,0
AC079385.2,0.08,0,0.01,0,0.01,0,0,0,0,0
AC079385.3,0.12,0,0,0,0,0,0,0.05,0.07,0
AC079395.1,0,0,0,0,0,0,0,0,0,0
AC079395.2,0,0,0,0,0,0,0,0,0,0
AC079395.3,0,0,0,0,0,0,0,0,0,0
AC079403.1,0,0,0,0,0,0,0,0,0,0
AC079411.1,0.02,0,0,0,0,0,0,0,0,0
AC079414.1,0,0,0,0,0,0,0,0,0,0
AC079414.2,0,0,0,0,0,0,0,0,0,0
AC079414.3,0.12,0.58,0.11,0,0.05,0.09,0.23,0.07,0.33,0.26
AC079416.1,0,0,0,0,0,0,0,0,0,0
AC079416.2,0.42,0.67,0.49,0.42,0.21,0.21,0.37,0.31,0.85,0.71
AC079416.3,0.07,0.22,0,0.21,0.05,0.17,0.15,0.06,0,0.33
AC079416.4,0,0.12,0,0,0,0,0,0,0,0.26
AC079447.1,0,0,0,0.19,0.15,0,0.22,0.14,0,0
AC079448.1,0,0,0,0,0,0,0,0,0,0
AC079449.1,0,0,0,0,0,0,0,0,0,0
AC079456.1,0,0,0,0,0,0,0,0,0,0
AC079460.1,0,0,0,0,0,0,0,0,0,0
AC079460.2,0,0,0,0,0,0,0,0,0,0
AC079465.1,0,0,0,0,0,0,0,0,0,0.03
AC079466.1,0.14,0.01,0.05,0.08,0.19,0.2,0.01,0.06,0.14,0.08
AC079466.2,0,0,0,0,0,0,0,0,0,0
AC079467.1,0,0,0,0,0,0,0,0,0,0
AC079584.1,0,0,0,0,0,0,0,0,0,0
AC079584.2,0,0,0,0,0,0,0,0,0,0
AC079587.1,0,0,0,0,0,0,0,0,0,0
AC079594.1,0,0,0,0,0.32,0.29,0,0,0.28,0
AC079594.2,0.25,0.82,0.27,0.29,0.31,0.52,0,0.3,0.97,0.89
AC079597.1,0,0,0,0,0,0,0,0,0,0
AC079598.1,0,0,0,0,0,0,0,0,0,0
AC079598.2,0,0,0,0,0,0,0,0,0,0
AC079598.3,0,0,0,0,0,0,0,0,0,0
AC079598.4,0,0,0,0,0,0,0,0,0,0
AC079600.1,0,0,0,0,0,0,0,0,0,0
AC079600.2,0,0,0,0,0,0,0,0,0,0
AC079600.3,0,0,0,0,0,0,0,0,0,0
AC079601.1,0,0,0,0,0,0,0,0,0,0
AC079601.2,0.08,0,0,0.09,0,0.03,0.21,0.14,0.12,0.03
AC079601.3,0,0,0,0,0,0.07,0,0,0.07,0
AC079602.1,0,0,0,0,0,0,0,0,0,0
AC079602.2,0,0,0,0,0,0,0,0,0,0
AC079602.3,0,0,0,0,0,0,0,0,0,0
AC079602.4,0,0,0,0,0,0,0,0,0,0
AC079610.1,0,0,0.1,0,0.09,0.08,0.41,0.24,0.33,0.19
AC079610.2,0,0,0,0,0,0,0,0,0,0
AC079612.1,0,0.01,0,0,0,0,0,0,0,0
AC079612.2,0,0,0,0,0,0,0,0,0,0
AC079684.1,0,0,0,0,0,0,0,0,0,0
AC079684.2,0,0.18,0,0.21,0,0,0,0,0,0
AC079741.1,0,0,0,0,0,0,0,0,0,0
AC079742.1,0,0,0,0.37,0.35,2.94,0,7.97,0.87,0
AC079753.1,0.08,0.02,0.01,0,0.01,0.05,0.07,0,0.06,0.04
AC079753.2,0.09,0.07,0.04,0.02,0.02,0.04,0.02,0,0.02,0.06
AC079760.1,0,0,0,0,0,0,0,0,0,0
AC079760.2,0,0,0,0,0,0,0,0,0,0
AC079763.1,0,0,0,0,0,0,0,0,0,0
AC079766.1,0,0,0.22,0.22,0,0,0.22,0.12,0.69,0
AC079768.1,0,0,0,0,0,0,0,0,0,0
AC079768.2,0,0,0,0,0,0,0,0,0,0
AC079768.3,0,0,0,0,0,0,0,0,0,0
AC079768.4,0,0,0,0,0,0,0,0,0,0
AC079772.1,0,0,0,0,0,0,0,0,0,0
AC079775.1,0,0,0,0,0,0,0,0,0,0
AC079776.1,0,0,0,0,0,0,0,0,0,0
AC079776.2,0,0,0,0,0,0,0,0,0,0
AC079776.3,0,0,0,0,0,0,0,0,0,0
AC079776.4,0,0,0,0,0,0,0,0,0,0
AC079776.5,0,0,0,0,0,0,0,0,0,0
AC079777.1,0,0.02,0,0,0.19,0.05,0,0,0,0.03
AC079779.1,0,0,0.01,0,0,0,0.01,0,0,0
AC079779.2,0,0,0,0,0,0,0,0,0.25,0
AC079779.3,0,0,0,0,0,0,0,0,0,0
AC079779.4,0,0,0,0,0,0,0,0,0,0
AC079780.1,0,0,0,0,0,0,0,0,0.99,0
AC079781.1,0,0,0,0,0,0,0,0,0,0
AC079781.2,0,0,0,0,0,0,0,0,0,0
AC079781.3,0,0,0,0,0,0,0,0,0,0
AC079781.4,0,0,0,0,0,0,0,0,0,0
AC079781.5,0.11,0.1,0.12,0.04,0.14,0.14,0.13,0.11,0.05,0.31
AC079790.1,0,0,0,0,0.44,0,0,0,0,0
AC079790.2,0,0.04,0,0,0,0.04,0,0.03,0,0
AC079791.1,0,0,0,0,0,0,0,0,0,0
AC079793.1,0,0,0,0,0,0,0,0.09,0.08,0
AC079799.1,0,0,0,0,0,0,0,0,0,0
AC079799.2,0,0,0,0,0,0,0,0,0.48,0.18
AC079801.1,0,0,0,0,0,0,0,0,0,0
AC079802.1,0,0,0,0,0,0,0,0,0,0
AC079804.1,0,0,0,0,0,0,0,0,0,0
AC079804.2,0,0,0,0,0,0,0,0,0,0
AC079804.3,0,0.11,0.04,0,0.59,0.14,0,0.08,0.04,0.04
